provinceID, provinceName, loc, county, countyloc, duchy, duchyloc, kingdom, kingdomloc, region, terrain, type, X, Y, rgb, area (pixels), county area, duchy area, kingdom area

1, b_vestfirdir, Vestfirðir, c_vestisland, Vestrland, d_iceland, Iceland, k_norway, Norway world_europe_north, mountains, inhabitable, X:271, Y:3950, rgb(42, 3, 128), AREA: 4185, County Area: 13299, Duchy Area: 35255, Kingdom Area: 147219;
208, b_lahti, Lahti, c_tavasts, Tavasts, d_finland, Finland, k_finland, Finland world_europe_north, taiga, inhabitable, X:2180, Y:3390, rgb(126, 198, 4), AREA: 1184, County Area: 4032, Duchy Area: 39806, Kingdom Area: 105882;
209, b_paijala, Päijälä, c_sysma, Sysmä, d_finland, Finland, k_finland, Finland world_europe_north, wetlands, inhabitable, X:2169, Y:3475, rgb(168, 201, 132), AREA: 2014, County Area: 4871, Duchy Area: 39806, Kingdom Area: 105882;
210, b_vuohijarvi, Vuohijärvi, c_pedersore, Pietarsaari, d_pohjanmaa, Pohjanmaa, k_finland, Finland world_europe_north, taiga, inhabitable, X:2084, Y:3530, rgb(0, 204, 5), AREA: 3758, County Area: 6387, Duchy Area: 28634, Kingdom Area: 105882;
211, b_messukyla, Messukylä, c_messukyla, Messukylä, d_finland, Finland, k_finland, Finland world_europe_north, taiga, inhabitable, X:2120, Y:3453, rgb(42, 207, 133), AREA: 2213, County Area: 4710, Duchy Area: 39806, Kingdom Area: 105882;
212, b_ruovesi, Ruovesi, c_messukyla, Messukylä, d_finland, Finland, k_finland, Finland world_europe_north, taiga, inhabitable, X:2105, Y:3486, rgb(84, 210, 6), AREA: 2497, County Area: 4710, Duchy Area: 39806, Kingdom Area: 105882;
213, b_mustasaari, Mustasaari, c_mustasaari, Mustasaari, d_pohjanmaa, Pohjanmaa, k_finland, Finland world_europe_north, plains, inhabitable, X:2008, Y:3537, rgb(126, 0, 134), AREA: 1265, County Area: 3515, Duchy Area: 28634, Kingdom Area: 105882;
214, b_merikarvia, Merikarvia, c_mustasaari, Mustasaari, d_pohjanmaa, Pohjanmaa, k_finland, Finland world_europe_north, plains, inhabitable, X:2015, Y:3497, rgb(168, 3, 7), AREA: 1254, County Area: 3515, Duchy Area: 28634, Kingdom Area: 105882;
215, b_levanluhta, Levänluhta, c_mustasaari, Mustasaari, d_pohjanmaa, Pohjanmaa, k_finland, Finland world_europe_north, plains, inhabitable, X:2026, Y:3520, rgb(0, 6, 135), AREA: 996, County Area: 3515, Duchy Area: 28634, Kingdom Area: 105882;
216, b_sund, Sund, c_aland, Aland, d_svealand, Uppland, k_sweden, Sweden world_europe_north, plains, inhabitable, X:1958, Y:3380, rgb(42, 9, 8), AREA: 291, County Area: 702, Duchy Area: 12127, Kingdom Area: 90794;
217, b_jomala, Jomala, c_aland, Aland, d_svealand, Uppland, k_sweden, Sweden world_europe_north, plains, inhabitable, X:1967, Y:3366, rgb(84, 12, 136), AREA: 411, County Area: 702, Duchy Area: 12127, Kingdom Area: 90794;
218, b_soma, Soma, c_viena, Viena, d_karelia, Karelia, k_finland, Finland world_europe_north, taiga, inhabitable, X:2413, Y:3617, rgb(126, 15, 9), AREA: 1994, County Area: 10377, Duchy Area: 37442, Kingdom Area: 105882;
219, b_kem, Kem, c_viena, Viena, d_karelia, Karelia, k_finland, Finland world_europe_north, taiga, inhabitable, X:2360, Y:3662, rgb(168, 18, 137), AREA: 2989, County Area: 10377, Duchy Area: 37442, Kingdom Area: 105882;
220, b_strand, Strand, c_ribe, Ribe, d_slesvig, Slesvig, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1447, Y:3008, rgb(0, 21, 10), AREA: 940, County Area: 2939, Duchy Area: 7385, Kingdom Area: 35464;
221, b_holstebro, Holstebro, c_ringkobing, Ringkøbing, d_jylland, Jylland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1458, Y:3132, rgb(42, 24, 138), AREA: 660, County Area: 2545, Duchy Area: 11275, Kingdom Area: 35464;
222, b_ormstrup, Ormstrup, c_viborg, Viborg, d_jylland, Jylland, k_denmark, Denmark world_europe_north, forest, inhabitable, X:1496, Y:3092, rgb(84, 27, 11), AREA: 709, County Area: 1988, Duchy Area: 11275, Kingdom Area: 35464;
223, b_ycost, Ycost, c_ringkobing, Ringkøbing, d_jylland, Jylland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1482, Y:3103, rgb(126, 30, 139), AREA: 513, County Area: 2545, Duchy Area: 11275, Kingdom Area: 35464;
224, b_randros, Randrøs, c_aalborg, Aalborg, d_jylland, Jylland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1525, Y:3135, rgb(168, 33, 12), AREA: 719, County Area: 4405, Duchy Area: 11275, Kingdom Area: 35464;
225, b_tarm, Tarm, c_ringkobing, Ringkøbing, d_jylland, Jylland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1457, Y:3084, rgb(0, 36, 140), AREA: 719, County Area: 2545, Duchy Area: 11275, Kingdom Area: 35464;
226, b_djursland, Djursland, c_aarhus, Aarhus, d_jylland, Jylland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1560, Y:3120, rgb(42, 39, 13), AREA: 574, County Area: 2337, Duchy Area: 11275, Kingdom Area: 35464;
227, b_taulov, Taulov, c_vorbasse, Vorbasse, d_slesvig, Slesvig, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1505, Y:3065, rgb(84, 42, 141), AREA: 472, County Area: 1725, Duchy Area: 7385, Kingdom Area: 35464;
228, b_middelfart, Middelfart, c_fyn, Fyn, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1521, Y:3042, rgb(126, 45, 14), AREA: 596, County Area: 1957, Duchy Area: 6774, Kingdom Area: 35464;
229, b_bagahus, Konungahella, c_raniriki, Elfinn, d_viken, Víkin, k_norway, Norway world_europe_north, plains, inhabitable, X:1622, Y:3230, rgb(168, 48, 142), AREA: 1003, County Area: 2635, Duchy Area: 14756, Kingdom Area: 147219;
230, b_ranariki, Ránariki, c_raniriki, Elfinn, d_viken, Víkin, k_norway, Norway world_europe_north, plains, inhabitable, X:1595, Y:3316, rgb(0, 51, 15), AREA: 844, County Area: 2635, Duchy Area: 14756, Kingdom Area: 147219;
231, b_austfold, Stangir, c_vingulmork, Vingulmörk, d_viken, Víkin, k_norway, Norway world_europe_north, plains, inhabitable, X:1590, Y:3331, rgb(42, 54, 143), AREA: 434, County Area: 3235, Duchy Area: 14756, Kingdom Area: 147219;
232, b_romerriki, Raumaríki, c_vingulmork, Vingulmörk, d_viken, Víkin, k_norway, Norway world_europe_north, taiga, inhabitable, X:1637, Y:3377, rgb(84, 57, 16), AREA: 605, County Area: 3235, Duchy Area: 14756, Kingdom Area: 147219;
233, b_ringariki, Hríngaríki, c_vestfold, Vestfold, d_viken, Víkin, k_norway, Norway world_europe_north, mountains, inhabitable, X:1564, Y:3394, rgb(126, 60, 144), AREA: 1849, County Area: 4663, Duchy Area: 14756, Kingdom Area: 147219;
234, b_oslosyslar, Ósló, c_vingulmork, Vingulmörk, d_viken, Víkin, k_norway, Norway world_europe_north, taiga, inhabitable, X:1593, Y:3379, rgb(168, 63, 17), AREA: 1026, County Area: 3235, Duchy Area: 14756, Kingdom Area: 147219;
235, b_valdres, Valdres, c_hedmork, Heiðmörk, d_dalir, Upplönd, k_norway, Norway world_europe_north, hills, inhabitable, X:1586, Y:3417, rgb(0, 66, 145), AREA: 1683, County Area: 3626, Duchy Area: 16281, Kingdom Area: 147219;
236, b_hedmork, Hamarr, c_hedmork, Heiðmörk, d_dalir, Upplönd, k_norway, Norway world_europe_north, hills, inhabitable, X:1620, Y:3429, rgb(42, 69, 18), AREA: 889, County Area: 3626, Duchy Area: 16281, Kingdom Area: 147219;
237, b_northri_gudbrandsdali, Harðkinn, c_gudbrandsdalir, Guðbrandsdalir, d_dalir, Upplönd, k_norway, Norway world_europe_north, mountains, inhabitable, X:1572, Y:3496, rgb(84, 72, 146), AREA: 1720, County Area: 5148, Duchy Area: 16281, Kingdom Area: 147219;
238, b_suthri_gudbrandsdali, Steig, c_gudbrandsdalir, Guðbrandsdalir, d_dalir, Upplönd, k_norway, Norway world_europe_north, mountains, inhabitable, X:1599, Y:3462, rgb(126, 75, 19), AREA: 1274, County Area: 5148, Duchy Area: 16281, Kingdom Area: 147219;
239, b_northri_eystridali, Norðr Eystridalr, c_eystridalir, Eystridalir, d_dalir, Upplönd, k_norway, Norway world_europe_north, mountains, inhabitable, X:1631, Y:3509, rgb(168, 78, 147), AREA: 1615, County Area: 3599, Duchy Area: 16281, Kingdom Area: 147219;
240, b_suthri_eystridali, Suðr Eystridalr, c_eystridalir, Eystridalir, d_dalir, Upplönd, k_norway, Norway world_europe_north, hills, inhabitable, X:1644, Y:3444, rgb(0, 81, 20), AREA: 1984, County Area: 3599, Duchy Area: 16281, Kingdom Area: 147219;
241, b_gauldala, Gauldalr, c_gauldala, Gauldælafylki, d_dalir, Upplönd, k_norway, Norway world_europe_north, mountains, inhabitable, X:1605, Y:3571, rgb(42, 84, 148), AREA: 1938, County Area: 3908, Duchy Area: 16281, Kingdom Area: 147219;
242, b_stjordala, Stjórdalr, c_gauldala, Gauldælafylki, d_dalir, Upplönd, k_norway, Norway world_europe_north, mountains, inhabitable, X:1620, Y:3588, rgb(84, 87, 21), AREA: 1970, County Area: 3908, Duchy Area: 16281, Kingdom Area: 147219;
243, b_verdala, Verdalr, c_trandheim, Þrándheimr, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1655, Y:3632, rgb(126, 138, 49), AREA: 2657, County Area: 6923, Duchy Area: 15421, Kingdom Area: 147219;
244, b_innan_namdal, Innri Naumudalr, c_namdalfylki, Naumdælafylki, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, mountains, inhabitable, X:1688, Y:3669, rgb(168, 93, 22), AREA: 2769, County Area: 9580, Duchy Area: 25751, Kingdom Area: 147219;
245, b_utan_namdal, Ytri Naumudalr, c_namdalfylki, Naumdælafylki, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, taiga, inhabitable, X:1632, Y:3669, rgb(0, 96, 150), AREA: 2357, County Area: 9580, Duchy Area: 25751, Kingdom Area: 147219;
246, b_drafn, Drafn, c_vestfold, Vestfold, d_viken, Víkin, k_norway, Norway world_europe_north, plains, inhabitable, X:1568, Y:3351, rgb(42, 99, 23), AREA: 1026, County Area: 4663, Duchy Area: 14756, Kingdom Area: 147219;
247, b_numedall, Þelamörk, c_telemark, Þelamörk, d_viken, Víkin, k_norway, Norway world_europe_north, mountains, inhabitable, X:1517, Y:3389, rgb(84, 102, 151), AREA: 1863, County Area: 4223, Duchy Area: 14756, Kingdom Area: 147219;
248, b_telemark, Rýgjarbit, c_telemark, Þelamörk, d_viken, Víkin, k_norway, Norway world_europe_north, plains, inhabitable, X:1507, Y:3305, rgb(126, 105, 24), AREA: 1162, County Area: 4223, Duchy Area: 14756, Kingdom Area: 147219;
249, b_arendall, Þrymlingar, c_nedenes, Austr Agðir, d_agder, Egðafylki, k_norway, Norway world_europe_north, taiga, inhabitable, X:1479, Y:3278, rgb(168, 108, 152), AREA: 1394, County Area: 3682, Duchy Area: 7357, Kingdom Area: 147219;
250, b_raaboigde, Robyggjalög, c_nedenes, Austr Agðir, d_agder, Egðafylki, k_norway, Norway world_europe_north, mountains, inhabitable, X:1455, Y:3309, rgb(0, 111, 25), AREA: 1071, County Area: 3682, Duchy Area: 7357, Kingdom Area: 147219;
251, b_norwegian_lister, Líðandisnes, c_agdeside, Vestr Agðir, d_agder, Egðafylki, k_norway, Norway world_europe_north, taiga, inhabitable, X:1402, Y:3280, rgb(42, 114, 153), AREA: 1553, County Area: 3675, Duchy Area: 7357, Kingdom Area: 147219;
252, b_jatharr, Jaðarr, c_rogalandi, Rogaland, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, plains, inhabitable, X:1368, Y:3302, rgb(84, 117, 26), AREA: 1231, County Area: 3470, Duchy Area: 13673, Kingdom Area: 147219;
253, b_ryfylki, Rýgjarfylki, c_rogalandi, Rogaland, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1407, Y:3352, rgb(126, 120, 154), AREA: 1253, County Area: 3470, Duchy Area: 13673, Kingdom Area: 147219;
254, b_haugelandi, Ögvaldsnes, c_rogalandi, Rogaland, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, hills, inhabitable, X:1365, Y:3351, rgb(168, 123, 27), AREA: 986, County Area: 3470, Duchy Area: 13673, Kingdom Area: 147219;
255, b_hardanger, Harðangr, c_hordalandi, Hörðaland, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1431, Y:3395, rgb(0, 126, 155), AREA: 1487, County Area: 5900, Duchy Area: 13673, Kingdom Area: 147219;
256, b_sunnhordalandi, Sunnhörðaland, c_hordalandi, Hörðaland, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1385, Y:3378, rgb(42, 129, 28), AREA: 1186, County Area: 5900, Duchy Area: 13673, Kingdom Area: 147219;
257, b_bjorgvin, Björgyn, c_hordalandi, Hörðaland, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, taiga, inhabitable, X:1376, Y:3410, rgb(84, 132, 156), AREA: 1188, County Area: 5900, Duchy Area: 13673, Kingdom Area: 147219;
258, b_northrihordalandi, Norðrhörðaland, c_hordalandi, Hörðaland, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, taiga, inhabitable, X:1387, Y:3429, rgb(126, 135, 29), AREA: 1091, County Area: 5900, Duchy Area: 13673, Kingdom Area: 147219;
259, b_voss, Vörs, c_hordalandi, Hörðaland, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1451, Y:3435, rgb(168, 138, 157), AREA: 948, County Area: 5900, Duchy Area: 13673, Kingdom Area: 147219;
260, b_sognfylki, Lúsakaupangr, c_sogn, Sogn, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1456, Y:3484, rgb(0, 141, 30), AREA: 1446, County Area: 4303, Duchy Area: 13673, Kingdom Area: 147219;
261, b_bremanger, Ruslar, c_sogn, Sogn, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, taiga, inhabitable, X:1390, Y:3453, rgb(42, 144, 158), AREA: 802, County Area: 4303, Duchy Area: 13673, Kingdom Area: 147219;
262, b_stolsheimen, Hof, c_sogn, Sogn, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, hills, inhabitable, X:1414, Y:3461, rgb(84, 147, 31), AREA: 437, County Area: 4303, Duchy Area: 13673, Kingdom Area: 147219;
263, b_fjarlandi, Sýrströnd, c_sogn, Sogn, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, hills, inhabitable, X:1431, Y:3480, rgb(126, 150, 159), AREA: 893, County Area: 4303, Duchy Area: 13673, Kingdom Area: 147219;
264, b_dale, Drifeyjar, c_sogn, Sogn, d_vestlandi, Gulaþingslög, k_norway, Norway world_europe_north, hills, inhabitable, X:1370, Y:3477, rgb(168, 153, 32), AREA: 725, County Area: 4303, Duchy Area: 13673, Kingdom Area: 147219;
265, b_firdafylki, Úlfasund, c_firdafylki, Firðafylki, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1392, Y:3508, rgb(0, 156, 160), AREA: 1449, County Area: 2605, Duchy Area: 15421, Kingdom Area: 147219;
266, b_jolster, Stoðreimr, c_firdafylki, Firðafylki, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1423, Y:3503, rgb(42, 159, 33), AREA: 1156, County Area: 2605, Duchy Area: 15421, Kingdom Area: 147219;
267, b_sunnmore, Sunnmærr, c_norwegian_more, Mæri, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, mountains, inhabitable, X:1431, Y:3537, rgb(84, 162, 161), AREA: 2246, County Area: 5893, Duchy Area: 15421, Kingdom Area: 147219;
268, b_raumsdali, Raumsdalr, c_norwegian_more, Mæri, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, hills, inhabitable, X:1481, Y:3552, rgb(126, 165, 34), AREA: 1503, County Area: 5893, Duchy Area: 15421, Kingdom Area: 147219;
269, b_northri_more, Norðrmærr, c_norwegian_more, Mæri, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, hills, inhabitable, X:1506, Y:3574, rgb(168, 168, 162), AREA: 2144, County Area: 5893, Duchy Area: 15421, Kingdom Area: 147219;
270, b_nidaros, Niðaróss, c_trandheim, Þrándheimr, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, plains, inhabitable, X:1557, Y:3604, rgb(0, 171, 35), AREA: 1573, County Area: 6923, Duchy Area: 15421, Kingdom Area: 147219;
271, b_orkdala, Orkadalr, c_gudbrandsdalir, Guðbrandsdalir, d_dalir, Upplönd, k_norway, Norway world_europe_north, mountains, inhabitable, X:1554, Y:3552, rgb(42, 174, 163), AREA: 1172, County Area: 5148, Duchy Area: 16281, Kingdom Area: 147219;
272, b_hitrar, Hitrar, c_trandheim, Þrándheimr, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, plains, inhabitable, X:1537, Y:3621, rgb(84, 177, 36), AREA: 732, County Area: 6923, Duchy Area: 15421, Kingdom Area: 147219;
273, b_eynafylki, Eynafylki, c_trandheim, Þrándheimr, d_trandalog, Þrændalög, k_norway, Norway world_europe_north, taiga, inhabitable, X:1592, Y:3636, rgb(126, 180, 164), AREA: 1961, County Area: 6923, Duchy Area: 15421, Kingdom Area: 147219;
274, b_torgar, Torgar, c_namdalfylki, Naumdælafylki, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, hills, inhabitable, X:1657, Y:3705, rgb(168, 183, 37), AREA: 2655, County Area: 9580, Duchy Area: 25751, Kingdom Area: 147219;
275, b_rodoy, Rauðey, c_bothin, Boðin, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, mountains, inhabitable, X:1705, Y:3801, rgb(0, 186, 165), AREA: 1897, County Area: 7198, Duchy Area: 25751, Kingdom Area: 147219;
276, b_sandnes, Sandnes, c_bothin, Boðin, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, hills, inhabitable, X:1680, Y:3765, rgb(42, 189, 38), AREA: 939, County Area: 7198, Duchy Area: 25751, Kingdom Area: 147219;
277, b_bothin, Boðin, c_bothin, Boðin, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, mountains, inhabitable, X:1743, Y:3817, rgb(84, 192, 166), AREA: 3086, County Area: 7198, Duchy Area: 25751, Kingdom Area: 147219;
278, b_vagan, Leirnes, c_vastvag, Lófótr, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, hills, inhabitable, X:1750, Y:3880, rgb(126, 195, 39), AREA: 2524, County Area: 8973, Duchy Area: 25751, Kingdom Area: 147219;
279, b_bjarkoy, Bjarkey, c_vastvag, Lófótr, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, hills, inhabitable, X:1809, Y:3923, rgb(168, 198, 167), AREA: 3693, County Area: 8973, Duchy Area: 25751, Kingdom Area: 147219;
280, b_vastvagborg, Vágar, c_vastvag, Lófótr, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, hills, inhabitable, X:1764, Y:3915, rgb(0, 201, 40), AREA: 2756, County Area: 8973, Duchy Area: 25751, Kingdom Area: 147219;
281, , none, undefined, undefined, none, undefined, none, undefined Scandinavia & Finland & Iceland, mountains, impassable_mountains, X:none, Y:none, rgb(42, 204, 168), AREA: 1077, ;
282, b_graftavallen, Undursey, c_jamtfir, Jamtaland, d_jamtland, Jamtaland, k_norway, Norway world_europe_north, hills, inhabitable, X:1718, Y:3578, rgb(84, 207, 41), AREA: 455, County Area: 4792, Duchy Area: 15582, Kingdom Area: 147219;
283, b_grong, Granungar, c_namdalfylki, Naumdælafylki, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, mountains, inhabitable, X:1699, Y:3725, rgb(126, 210, 169), AREA: 1799, County Area: 9580, Duchy Area: 25751, Kingdom Area: 147219;
284, b_aarborte, Raðund, c_bothin, Boðin, d_halogaland, Hálogaland, k_norway, Norway world_europe_north, mountains, inhabitable, X:1726, Y:3772, rgb(168, 0, 42), AREA: 1276, County Area: 7198, Duchy Area: 25751, Kingdom Area: 147219;
285, b_borgarsyslar, Sarpsborg, c_vingulmork, Vingulmörk, d_viken, Víkin, k_norway, Norway world_europe_north, taiga, inhabitable, X:1612, Y:3344, rgb(0, 3, 170), AREA: 617, County Area: 3235, Duchy Area: 14756, Kingdom Area: 147219;
286, b_tunsberg, Túnsberg, c_vestfold, Vestfold, d_viken, Víkin, k_norway, Norway world_europe_north, plains, inhabitable, X:1570, Y:3327, rgb(42, 6, 43), AREA: 775, County Area: 4663, Duchy Area: 14756, Kingdom Area: 147219;
287, b_skiringssal, Skíringssalr, c_vestfold, Vestfold, d_viken, Víkin, k_norway, Norway world_europe_north, plains, inhabitable, X:1547, Y:3312, rgb(84, 9, 171), AREA: 1013, County Area: 4663, Duchy Area: 14756, Kingdom Area: 147219;
288, b_heddall, Grenland, c_telemark, Þelamörk, d_viken, Víkin, k_norway, Norway world_europe_north, hills, inhabitable, X:1511, Y:3335, rgb(126, 12, 44), AREA: 1198, County Area: 4223, Duchy Area: 14756, Kingdom Area: 147219;
289, b_ottrunes, Seleyjar, c_agdeside, Vestr Agðir, d_agder, Egðafylki, k_norway, Norway world_europe_north, plains, inhabitable, X:1439, Y:3257, rgb(168, 15, 172), AREA: 1291, County Area: 3675, Duchy Area: 7357, Kingdom Area: 147219;
290, b_heiane, Veggir, c_agdeside, Vestr Agðir, d_agder, Egðafylki, k_norway, Norway world_europe_north, hills, inhabitable, X:1406, Y:3316, rgb(0, 18, 45), AREA: 831, County Area: 3675, Duchy Area: 7357, Kingdom Area: 147219;
291, b_tanna, Tenná, c_harjadalen, Herdalr, d_jamtland, Jamtaland, k_norway, Norway world_europe_north, mountains, inhabitable, X:1652, Y:3561, rgb(42, 21, 173), AREA: 1078, County Area: 3434, Duchy Area: 15582, Kingdom Area: 147219;
292, b_aarak, Hvínisdalr, c_nedenes, Austr Agðir, d_agder, Egðafylki, k_norway, Norway world_europe_north, taiga, inhabitable, X:1435, Y:3286, rgb(84, 24, 46), AREA: 1217, County Area: 3682, Duchy Area: 7357, Kingdom Area: 147219;
293, b_dovre, Dofrafjall, c_gudbrandsdalir, Guðbrandsdalir, d_dalir, Upplönd, k_norway, Norway world_europe_north, mountains, inhabitable, X:1525, Y:3533, rgb(126, 27, 174), AREA: 982, County Area: 5148, Duchy Area: 16281, Kingdom Area: 147219;
294, b_ardda, Árðardalr, c_jamtfir, Jamtaland, d_jamtland, Jamtaland, k_norway, Norway world_europe_north, mountains, inhabitable, X:1714, Y:3628, rgb(168, 30, 47), AREA: 1378, County Area: 4792, Duchy Area: 15582, Kingdom Area: 147219;
295, b_krokar, Stórsær, c_jamtfir, Jamtaland, d_jamtland, Jamtaland, k_norway, Norway world_europe_north, hills, inhabitable, X:1719, Y:3599, rgb(0, 33, 175), AREA: 1075, County Area: 4792, Duchy Area: 15582, Kingdom Area: 147219;
296, b_skalstugan, Ánn, c_jamtfir, Jamtaland, d_jamtland, Jamtaland, k_norway, Norway world_europe_north, mountains, inhabitable, X:1679, Y:3593, rgb(42, 36, 48), AREA: 907, County Area: 4792, Duchy Area: 15582, Kingdom Area: 147219;
297, b_storsjo, Heiðvík, c_harjadalen, Herdalr, d_jamtland, Jamtaland, k_norway, Norway world_europe_north, hills, inhabitable, X:1699, Y:3542, rgb(84, 39, 176), AREA: 1063, County Area: 3434, Duchy Area: 15582, Kingdom Area: 147219;
298, b_sveg, Sveg, c_harjadalen, Herdalr, d_jamtland, Jamtaland, k_norway, Norway world_europe_north, taiga, inhabitable, X:1747, Y:3516, rgb(126, 42, 49), AREA: 1293, County Area: 3434, Duchy Area: 15582, Kingdom Area: 147219;
299, , none, undefined, undefined, none, undefined, none, undefined Scandinavia & Finland & Iceland, plains, impassable_mountains, X:none, Y:none, rgb(43, 81, 138), AREA: 915, ;
300, b_liongby, Liongby, c_finnveden, Finnveden, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1698, Y:3125, rgb(0, 48, 50), AREA: 1451, County Area: 2847, Duchy Area: 16435, Kingdom Area: 90794;
301, b_warnnamo, Warnnamo, c_finnveden, Finnveden, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1707, Y:3179, rgb(42, 51, 178), AREA: 1396, County Area: 2847, Duchy Area: 16435, Kingdom Area: 90794;
302, b_vaxjo, Växjö, c_varend, Värend, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1770, Y:3128, rgb(84, 54, 51), AREA: 636, County Area: 3721, Duchy Area: 16435, Kingdom Area: 90794;
303, b_allbo, Allbo, c_varend, Värend, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1731, Y:3121, rgb(126, 57, 179), AREA: 1409, County Area: 3721, Duchy Area: 16435, Kingdom Area: 90794;
304, b_kinnevald, Kinnevald, c_varend, Värend, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1749, Y:3135, rgb(168, 60, 52), AREA: 512, County Area: 3721, Duchy Area: 16435, Kingdom Area: 90794;
305, b_norrvidinge, Norrvidinge, c_varend, Värend, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1759, Y:3160, rgb(0, 63, 180), AREA: 428, County Area: 3721, Duchy Area: 16435, Kingdom Area: 90794;
306, b_uppvidinge, Uppvidinge, c_varend, Värend, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1771, Y:3166, rgb(42, 66, 53), AREA: 736, County Area: 3721, Duchy Area: 16435, Kingdom Area: 90794;
307, b_kalmar, Kalmar, c_more, Möre, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1820, Y:3146, rgb(84, 69, 181), AREA: 804, County Area: 2466, Duchy Area: 16435, Kingdom Area: 90794;
308, b_hogsby, Högsby, c_more, Möre, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1801, Y:3164, rgb(126, 72, 54), AREA: 860, County Area: 2466, Duchy Area: 16435, Kingdom Area: 90794;
309, b_hulingsryd, Hulingsryd, c_sevede, Sevede, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1802, Y:3196, rgb(168, 75, 182), AREA: 878, County Area: 2968, Duchy Area: 16435, Kingdom Area: 90794;
310, b_vimmerby, Vimarby, c_sevede, Sevede, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1814, Y:3216, rgb(0, 78, 55), AREA: 940, County Area: 2968, Duchy Area: 16435, Kingdom Area: 90794;
311, b_hultaby, Hultaby, c_njudung, Njudung, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1755, Y:3179, rgb(42, 81, 183), AREA: 1166, County Area: 3642, Duchy Area: 16435, Kingdom Area: 90794;
312, b_jonkoping, Jönköping, c_njudung, Njudung, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1728, Y:3215, rgb(84, 84, 56), AREA: 1127, County Area: 3642, Duchy Area: 16435, Kingdom Area: 90794;
313, b_eksjo, Eksjö, c_njudung, Njudung, d_smaland, Småland, k_sweden, Sweden world_europe_north, taiga, inhabitable, X:1775, Y:3205, rgb(126, 87, 184), AREA: 1092, County Area: 3642, Duchy Area: 16435, Kingdom Area: 90794;
